NOV_ISSUED_DATE,NOV_NUMBER,STREET_NO,DIR,STREET_NME,VIOLATION_DESCRIPTION
1/1/2019,P005332121,1500,N,MILWAUKEE,8-4-081(a)     Public Urination
1/1/2019,P005480464,7900,S,PAULINA ST,8-4-081(a)     Public Urination
1/1/2019,P005528205,3000,W,MADISON,8-4-081(a)     Public Urination
1/1/2019,P005564244,2200,S,ARCHER,8-4-081(a)     Public Urination
1/1/2019,P005641317,2200,S,HOYNE,8-4-081(a)     Public Urination
1/1/2019,P005720771,800,W,WEBSTER,8-4-081(a)     Public Urination
1/1/2019,P005618512,10,E,JACKSON,8-4-081(a)     Public Urination
1/1/2019,P005619550,6300,S,MAPLEWOOD,8-4-081(a)     Public Urination
1/1/2019,P005908915,900,W,NEWPORT,8-4-081(a)     Public Urination
1/2/2019,P005177109,4400,N,BROADWAY,8-4-081(a)     Public Urination
1/2/2019,P005485573,10600,S,HALSTED ST,8-4-081(a)     Public Urination
1/2/2019,P005568576,10,E,ROOSEVELT RD,8-4-081(a)     Public Urination
1/2/2019,P005633745,10,E,103RD ST,8-4-081(a)     Public Urination
1/2/2019,P005570771,200,E,35TH ST,8-4-081(a)     Public Urination
1/2/2019,P005787831,6100,S,KEDZIE,8-4-081(a)     Public Urination
1/2/2019,P005724327,11300,S,MICHIGAN,8-4-081(a)     Public Urination
1/2/2019,P005604286,100,W,79TH ST,8-4-081(a)     Public Urination
1/2/2019,P005912297,100,E,LOWER WACKER,8-4-081(a)     Public Urination
1/3/2019,P005498595,9800,W,MADISON,8-4-081(a)     Public Urination
1/3/2019,P005485083,10300,S,WESTERN,8-4-081(a)     Public Urination
1/3/2019,P005679897,100,W,DIVISION,8-4-081(a)     Public Urination
1/3/2019,P005787757,2300,W,68TH ST,8-4-081(a)     Public Urination
1/4/2019,P005489783,3500,N,SHEFFIELD,8-4-081(a)     Public Urination
1/4/2019,P005564245,3000,S,MORGAN,8-4-081(a)     Public Urination
1/4/2019,P005633760,6300,S,ASHLAND,8-4-081(a)     Public Urination
1/4/2019,P005633873,100,,UNKNOWN,8-4-081(a)     Public Urination
1/4/2019,P005551065,3400,W,OGDEN,8-4-081(a)     Public Urination
1/4/2019,P005473570,3900,W,CHICAGO,8-4-081(a)     Public Urination
1/4/2019,P005690548,6000,S,KEDZIE ST,8-4-081(a)     Public Urination
